nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=G_opt, n_initial=180, repeat=13/30, RMSE_all=13.1730, RMSE_target=6.5162, MAE_all=9.7597
Saved battery: method=LHS, n_initial=180, repeat=14/30, RMSE_all=16.0662, RMSE_target=23.1615, MAE_all=11.5780
Saved battery: method=UCB, n_initial=180, repeat=13/30, RMSE_all=13.4460, RMSE_target=6.4373, MAE_all=9.3144
Saved battery: method=D_opt, n_initial=180, repeat=14/30, RMSE_all=13.5518, RMSE_target=9.1951, MAE_all=10.1565
Saved battery: method=K_means, n_initial=180, repeat=14/30, RMSE_all=13.5516, RMSE_target=6.3963, MAE_all=10.0611
Saved battery: method=PM, n_initial=180, repeat=14/30, RMSE_all=13.4016, RMSE_target=8.1256, MAE_all=10.2060
Saved battery: method=IMSE, n_initial=180, repeat=13/30, RMSE_all=14.0523, RMSE_target=7.9025, MAE_all=10.5595
Saved battery: method=G_opt, n_initial=180, repeat=14/30, RMSE_all=13.3388, RMSE_target=7.7397, MAE_all=9.7076
Saved battery: method=EI, n_initial=180, repeat=14/30, RMSE_all=17.1975, RMSE_target=5.0962, MAE_all=10.2732
Saved battery: method=LHS, n_initial=180, repeat=15/30, RMSE_all=13.5746, RMSE_target=7.1564, MAE_all=10.2426
Saved battery: method=UCB, n_initial=180, repeat=14/30, RMSE_all=13.4118, RMSE_target=5.1566, MAE_all=9.3118
Saved battery: method=IMSE, n_initial=180, repeat=14/30, RMSE_all=13.6988, RMSE_target=6.5472, MAE_all=9.9708
Saved battery: method=D_opt, n_initial=180, repeat=15/30, RMSE_all=13.6746, RMSE_target=7.8256, MAE_all=10.1832
Saved battery: method=K_means, n_initial=180, repeat=15/30, RMSE_all=13.9544, RMSE_target=6.9343, MAE_all=10.5228
